RTX,Feature bin,Peak Da,Brx_Semana 1_CODE_I,Chx_Semana 1_CODE_I,Clx_Semana 1_CODE_I,Fax_Semana 1_CODE_I,GU_Semana 1_CODE_I,GUx_Semana 1_CODE_I,Medio Br_Semana 1_CODE_I,Medio Br_Semana 2_CODE_I,Medio Br_Semana 3_CODE_I,Medio Ch_Semana 1_CODE_I,Medio Ch_Semana 2_CODE_I,Medio Ch_Semana 3_CODE_I,Medio Cl_Semana 1_CODE_I,Medio Cl_Semana 2_CODE_I,Medio Cl_Semana 3_CODE_I,Medio Fa_Semana 1_CODE_I,Medio Fa_Semana 2_CODE_I,Medio Fa_Semana 3_CODE_I,Medio Sc_Semana 1_CODE_I,Medio Sc_Semana 2_CODE_I,Medio Sc_Semana 3_CODE_I,Scx_Semana 1_CODE_I,Brx_Semana 1_CODE_S,Chx_Semana 1_CODE_S,Clx_Semana 1_CODE_S,Fax_Semana 1_CODE_S,GU_Semana 1_CODE_S,GUx_Semana 1_CODE_S,Medio Br_Semana 1_CODE_S,Medio Br_Semana 2_CODE_S,Medio Br_Semana 3_CODE_S,Medio Ch_Semana 1_CODE_S,Medio Ch_Semana 2_CODE_S,Medio Ch_Semana 3_CODE_S,Medio Cl_Semana 1_CODE_S,Medio Cl_Semana 2_CODE_S,Medio Cl_Semana 3_CODE_S,Medio Fa_Semana 1_CODE_S,Medio Fa_Semana 2_CODE_S,Medio Fa_Semana 3_CODE_S,Medio Sc_Semana 1_CODE_S,Medio Sc_Semana 2_CODE_S,Medio Sc_Semana 3_CODE_S,Scx_Semana 1_CODE_S
RT027,891,4673,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RT027,970,4910,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
RT027,971,4913,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
RT027,975,4925,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
RT027,976,4928,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
RT027,977,4931,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT027,978,4934,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT027,985,4955,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT027,986,4958,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT027,1019,5057,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
